Champion,Picks,Bans,PrioScore,Wins,Losses,Winrate,KDA,Avg BT,Avg RP,BP%,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
Kayn,0,0,0%,,,,,-,-,-,,,,,,,
Pyke,0,0,0%,,,,,-,-,-,,,,,,,
Sett,0,0,0%,,,,,-,-,-,,,,,,,
Lillia,0,0,0%,,,,,-,-,-,,,,,,,
Yone,0,0,0%,,,,,-,-,-,,,,,,,
Samira,0,0,0%,,,,,-,-,-,,,,,,,
Rell,0,0,0%,,,,,-,-,-,,,,,,,
Akshan,0,0,0%,,,,,-,-,-,,,,,,,
Belveth,0,0,0%,,,,,-,-,-,,,,,,,
Nilah,0,0,0%,,,,,-,-,-,,,,,,,
Briar,0,0,0%,,,,,-,-,-,,,,,,,
Smolder,0,0,0%,,,,,-,-,-,,,,,,,
